"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0003341","cilium movement","9/117","70/16766",1.30858527473854e-09,2.57660440596018e-06,2.38851249094382e-06,"Dnah5/Dnah11/Ak7/Rsph4a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6",9
"BP","GO:0035082","axoneme assembly","8/117","64/16766",1.41135175011273e-08,1.38947579798598e-05,1.28804417615551e-05,"Dnah5/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40",8
"BP","GO:0001578","microtubule bundle formation","8/117","96/16766",3.51316771023138e-07,0.00023058090738152,0.000213748519633025,"Dnah5/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40",8
"BP","GO:0001539","cilium or flagellum-dependent cell motility","8/117","118/16766",1.70649806886739e-06,0.000655963177326373,0.000608077917983444,"Dnah5/Dnah11/Cfap44/Spag6l/Drc7/Wdr63/Spag16/Ccdc40",8
"BP","GO:0060285","cilium-dependent cell motility","8/117","118/16766",1.70649806886739e-06,0.000655963177326373,0.000608077917983444,"Dnah5/Dnah11/Cfap44/Spag6l/Drc7/Wdr63/Spag16/Ccdc40",8
"BP","GO:0044782","cilium organization","12/117","314/16766",1.9988720487345e-06,0.000655963177326373,0.000608077917983444,"Dnah5/Dcdc2a/Pkhd1/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Ttc21a/Wdr63/Spag16/Ccdc40",12
"BP","GO:0030317","flagellated sperm motility","7/117","97/16766",5.14605387048529e-06,0.00108495869342021,0.00100575679580372,"Dnah5/Dnah11/Cfap44/Spag6l/Drc7/Spag16/Ccdc40",7
"BP","GO:0060271","cilium assembly","11/117","287/16766",5.31264791387634e-06,0.00108495869342021,0.00100575679580372,"Dnah5/Dcdc2a/Pkhd1/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40",11
"BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","9/117","183/16766",5.41971529666731e-06,0.00108495869342021,0.00100575679580372,"Cldn2/Epcam/Cdh16/Ptprd/Pcdh12/Cdh1/Pecam1/Igsf11/Sparcl1",9
"BP","GO:0097722","sperm motility","7/117","98/16766",5.51020159177354e-06,0.00108495869342021,0.00100575679580372,"Dnah5/Dnah11/Cfap44/Spag6l/Drc7/Spag16/Ccdc40",7
"BP","GO:0007018","microtubule-based movement","10/117","272/16766",2.07778946190549e-05,0.00371924313681082,0.00344773868607092,"Dnah5/Dnah11/Ak7/Rsph4a/Ttc21a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6",10
"BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","4/117","27/16766",3.4918118811427e-05,0.00572948132830831,0.00531122965079073,"Dnah5/Dnah11/Ak7/Ccdc40",4
