"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ATP-dependent microtubule motor activity, minus-end-directed","GO:0008569","0.0017236475566437645","2.7635515319293193","19","115","4","21123",
"GO:MF","dynein light intermediate chain binding","GO:0051959","0.01012736809173469","1.994503404762969","29","115","4","21123",
"GO:MF","dynein intermediate chain binding","GO:0045505","0.017157639823179707","1.7655424532160784","33","115","4","21123",
"GO:MF","ATP-dependent microtubule motor activity","GO:1990939","0.02177091754501605","1.662123267038828","35","115","4","21123",
"GO:MF","protein binding","GO:0005515","0.04739448552030893","1.3242721867525413","10383","115","77","21123",
"GO:BP","localization of cell","GO:0051674","4.036088959862494e-11","10.394039269999148","1633","116","37","21331",
"GO:BP","cell motility","GO:0048870","4.036088959862494e-11","10.394039269999148","1633","116","37","21331",
"GO:BP","locomotion","GO:0040011","1.0321427834391979e-9","8.986260219597941","1815","116","37","21331",
"GO:BP","movement of cell or subcellular component","GO:0006928","2.0149173684772324e-9","8.695742759522975","2060","116","39","21331",
"GO:BP","cilium movement","GO:0003341","1.9932309468492132e-8","7.700442378604377","174","116","13","21331",
"GO:BP","cilium movement involved in cell motility","GO:0060294","1.5212018307159802e-7","6.817813160601127","126","116","11","21331",
"GO:BP","cilium-dependent cell motility","GO:0060285","2.521939994419316e-7","6.598265250991566","132","116","11","21331",
"GO:BP","cilium or flagellum-dependent cell motility","GO:0001539","2.521939994419316e-7","6.598265250991566","132","116","11","21331",
"GO:BP","axoneme assembly","GO:0035082","4.705924187474331e-7","6.327355073595775","75","116","9","21331",
"GO:BP","microtubule-based process","GO:0007017","5.569344995235099e-7","6.254195878736894","882","116","23","21331",
"GO:BP","microtubule bundle formation","GO:0001578","0.000011623286825779331","4.934671045056431","107","116","9","21331",
"GO:BP","flagellated sperm motility","GO:0030317","0.000018835392082695194","4.7250253349733935","113","116","9","21331",
"GO:BP","sperm motility","GO:0097722","0.000018835392082695194","4.7250253349733935","113","116","9","21331",
