"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000001240_Ramp2"	5.71250128683628e-37	0.999999999989501	3.1191311747717e-53	6.40034197134222e-20	1.04987170401072e-11	"Pattern2"	1
"ENSMUSG00000022056_Adam7"	3.34215639593013e-22	1.49999573697865e-25	1	3.59441306643013e-25	1.88738503077533e-18	"Pattern3"	1
"ENSMUSG00000025431_Crisp1"	7.17980735763929e-135	6.70569823503373e-98	1	3.50091444733097e-96	2.5989711541872e-19	"Pattern3"	1
"ENSMUSG00000042096_Dao"	2.44751461244965e-48	1.16153543647783e-64	7.98071385563673e-24	0.999998576434226	1.42356577392832e-06	"Pattern4"	1
"ENSMUSG00000046834_Krt1"	6.25264909345117e-43	2.06282195281946e-37	1	7.33770764120733e-40	3.34343207314698e-18	"Pattern3"	1
"ENSMUSG00000061527_Krt5"	2.26718373677313e-93	2.42758710847185e-71	1	4.08954048230625e-70	3.89601089018514e-19	"Pattern3"	1
"ENSMUSG00000003051_Elf3"	1.04574203423155e-14	1.89119141540243e-28	1.38913684936814e-23	0.999999999999989	6.42919209224794e-17	"Pattern4"	0.999999999999989
"ENSMUSG00000002147_Stat6"	6.42511759122842e-11	0.994417225322586	7.0188401083526e-14	1.64741396931387e-06	0.00558112719912292	"Pattern2"	0.999999999935749
"ENSMUSG00000004651_Tyr"	6.8093385137895e-11	3.18153318101905e-18	0.999999999931907	5.58033844878833e-18	2.90661301039919e-18	"Pattern3"	0.999999999931907
"ENSMUSG00000030208_Emp1"	1.79572811276582e-10	0.999943209292331	2.06057364667867e-12	2.69014092952478e-11	5.67904991344301e-05	"Pattern2"	0.999999999820427
"ENSMUSG00000074037_Mc1r"	4.95979900019915e-10	7.85117462596391e-19	0.99999999950402	4.21893268793065e-16	1.03888217129028e-17	"Pattern3"	0.99999999950402
"ENSMUSG00000058019_Ces5a"	5.53922223983236e-10	1.2977229731188e-17	0.999999999446078	2.21775339439246e-17	3.24409641574392e-18	"Pattern3"	0.999999999446078
"ENSMUSG00000026937_Lcn5"	4.77312454064542e-09	5.29331241428827e-17	0.999999995226875	8.81385626374284e-17	3.4181426121813e-18	"Pattern3"	0.999999995226876
"ENSMUSG00000078673_Mup19"	1.14219599695556e-08	0.99999998857804	3.2183549418723e-23	3.88944624077185e-19	3.61655948091125e-17	"Pattern2"	0.99999998857804
