EnsemblID	GeneSymbol
ENSMUSG00000042096	Dao
ENSMUSG00000003051	Elf3
ENSMUSG00000043164	Tmem212
ENSMUSG00000004044	Ptrf
ENSMUSG00000044345	Marveld1
ENSMUSG00000045761	Fam179a
ENSMUSG00000047557	Lxn
ENSMUSG00000022262	Dnah5
ENSMUSG00000001029	Icam2
ENSMUSG00000041187	Prkd2
ENSMUSG00000036144	Meox2
ENSMUSG00000035910	Dcdc2a
ENSMUSG00000018581	Dnah11
ENSMUSG00000027376	Prom2
ENSMUSG00000040205	Cuzd1
ENSMUSG00000032125	Robo4
ENSMUSG00000031984	2810004N23Rik
ENSMUSG00000027356	Fermt1
ENSMUSG00000047230	Cldn2
ENSMUSG00000027490	E2f1
ENSMUSG00000047021	Ccdc108
ENSMUSG00000022759	4930451C15Rik
ENSMUSG00000033998	Kcnk1
ENSMUSG00000043760	Pkhd1
ENSMUSG00000022579	Gpihbp1
ENSMUSG00000036523	Greb1
ENSMUSG00000029155	Spata18
ENSMUSG00000031803	B3gnt3
ENSMUSG00000012350	Ehf
ENSMUSG00000066880	Zfp617
ENSMUSG00000063065	Mapk3
ENSMUSG00000033032	Afap1l1
ENSMUSG00000020486	Sept4
ENSMUSG00000034227	Foxj1
ENSMUSG00000027858	Tspan2
ENSMUSG00000042514	Klhl14
ENSMUSG00000063130	Calml3
ENSMUSG00000013418	B4galnt2
ENSMUSG00000041323	Ak7
ENSMUSG00000037627	Rgs22
ENSMUSG00000046280	She
ENSMUSG00000019773	Fbxo5
ENSMUSG00000030678	Maz
ENSMUSG00000036853	Mcoln3
ENSMUSG00000024451	Arap3
ENSMUSG00000029151	Slc30a3
ENSMUSG00000027474	Ccm2l
ENSMUSG00000028525	Pde4b
ENSMUSG00000071550	Wdr52
ENSMUSG00000045394	Epcam
ENSMUSG00000029710	Ephb4
ENSMUSG00000031881	Cdh16
ENSMUSG00000006345	Ggt1
ENSMUSG00000032783	Troap
ENSMUSG00000021702	Thbs4
ENSMUSG00000005320	Fgfr4
ENSMUSG00000038298	Pdzk1
ENSMUSG00000032035	Ets1
ENSMUSG00000044338	Aplnr
ENSMUSG00000021282	Eif5
ENSMUSG00000026976	Pax8
ENSMUSG00000028698	Pik3r3
ENSMUSG00000039364	Sectm1b
ENSMUSG00000010651	Acaa1b
ENSMUSG00000028399	Ptprd
ENSMUSG00000061718	Ppp1r1b
ENSMUSG00000022783	Spag6
ENSMUSG00000066839	Ecsit
ENSMUSG00000048038	4932418E24Rik
ENSMUSG00000033191	Tie1
ENSMUSG00000024440	Pcdh12
ENSMUSG00000039552	Rsph4a
ENSMUSG00000022376	Adcy8
ENSMUSG00000026785	Pkn3
ENSMUSG00000070306	Ccdc153
ENSMUSG00000000303	Cdh1
ENSMUSG00000020717	Pecam1
ENSMUSG00000031786	Ccdc135
ENSMUSG00000045515	Pou3f3
ENSMUSG00000031665	Sall1
ENSMUSG00000032514	Ttc21a
ENSMUSG00000027377	Mall
ENSMUSG00000043020	Wdr63
ENSMUSG00000035539	E230008N13Rik
ENSMUSG00000032068	1600029D21Rik
ENSMUSG00000020424	Gatsl3
ENSMUSG00000031760	Mt3
ENSMUSG00000053153	Spag16
ENSMUSG00000046470	Sox18
ENSMUSG00000030492	Slc7a9
ENSMUSG00000030838	Ush1c
ENSMUSG00000098318	RP23-45G16.5
ENSMUSG00000001131	Timp1
ENSMUSG00000056752	Dnah9
ENSMUSG00000022614	Lmf2
ENSMUSG00000018623	Mmp7
ENSMUSG00000049154	Fam183b
ENSMUSG00000047534	Mis18bp1
ENSMUSG00000027167	Elp4
ENSMUSG00000037679	Inf2
ENSMUSG00000014778	Fhod1
ENSMUSG00000015090	Ptgds
ENSMUSG00000030357	Fkbp4
ENSMUSG00000027810	Eif2a
ENSMUSG00000046916	Myct1
ENSMUSG00000041372	B4galnt3
ENSMUSG00000058488	Kl
ENSMUSG00000032562	Gnai2
ENSMUSG00000051985	Igfn1
ENSMUSG00000039963	Ccdc40
ENSMUSG00000004054	Map3k11
ENSMUSG00000027330	Cdc25b
ENSMUSG00000022790	Igsf11
ENSMUSG00000026955	Sapcd2
ENSMUSG00000043168	4930426D05Rik
ENSMUSG00000029309	Sparcl1
ENSMUSG00000032281	Acsbg1
ENSMUSG00000070498	Tmem132b
ENSMUSG00000036854	Hspb6
ENSMUSG00000037725	Ckap2
ENSMUSG00000052861	Dnah6
ENSMUSG00000002324	Rec8
ENSMUSG00000022462	Slc38a2
ENSMUSG00000027306	Nusap1
ENSMUSG00000027883	Gpsm2
ENSMUSG00000036123	Slc9a3
ENSMUSG00000026475	Rgs16
ENSMUSG00000023084	Lrrc71
ENSMUSG00000024986	Hhex
ENSMUSG00000044258	Ctla2a
ENSMUSG00000001504	Irx2
ENSMUSG00000039110	Mycbpap
ENSMUSG00000017950	Hnf4a
ENSMUSG00000038188	Scarf1
ENSMUSG00000089661	Mia
ENSMUSG00000034485	Uaca
ENSMUSG00000037989	Wnk2
ENSMUSG00000027078	Ube2l6
ENSMUSG00000048029	Eno4
ENSMUSG00000054662	Ano9
ENSMUSG00000056035	Cyp3a11
ENSMUSG00000019762	Iyd
ENSMUSG00000039055	Eme1
ENSMUSG00000038541	Srd5a2
ENSMUSG00000008398	Elk3
ENSMUSG00000024750	Zfand5
ENSMUSG00000050147	F2rl3
ENSMUSG00000096696	Zfp960
ENSMUSG00000028294	1700003M02Rik
ENSMUSG00000096947	Gm26723
ENSMUSG00000053141	Ptprt
ENSMUSG00000037628	Cdkn3
ENSMUSG00000062300	Pvrl2
ENSMUSG00000045930	Clec14a
ENSMUSG00000001946	Esam
ENSMUSG00000001225	Slc26a3
ENSMUSG00000085105	Gm12758
ENSMUSG00000062296	Trank1
ENSMUSG00000028678	Kif2c
ENSMUSG00000027016	Zfp385b
ENSMUSG00000016763	Scube1
ENSMUSG00000079685	Ulbp1
ENSMUSG00000066129	Kndc1
ENSMUSG00000039131	Gipc2
ENSMUSG00000068101	Cenpm
ENSMUSG00000037031	Tspan15
ENSMUSG00000030677	Kif22
ENSMUSG00000035498	Cdcp1
ENSMUSG00000034311	Kif4
ENSMUSG00000042616	Oscp1
ENSMUSG00000064280	Ccdc146
ENSMUSG00000032114	Slc37a4
ENSMUSG00000050866	Clrn3
ENSMUSG00000020838	Slc6a4
ENSMUSG00000039021	Ttc16
ENSMUSG00000030800	Prss8
ENSMUSG00000025497	Cdhr5
ENSMUSG00000026921	Egfl7
ENSMUSG00000041219	Arhgap11a
ENSMUSG00000034177	Rnf43
ENSMUSG00000018569	Cldn7
ENSMUSG00000051235	Gen1
ENSMUSG00000020429	Igfbp1
ENSMUSG00000037447	Arid5a
ENSMUSG00000021879	Dnah12
ENSMUSG00000054889	Dsp
ENSMUSG00000069456	Rdh16
ENSMUSG00000043621	Ubxn10
ENSMUSG00000061207	Stk19
ENSMUSG00000022306	Zfpm2
ENSMUSG00000023963	Cyp39a1
ENSMUSG00000050071	Bex1
ENSMUSG00000039632	Ccdc151
ENSMUSG00000031994	Adamts8
ENSMUSG00000022945	Chaf1b
ENSMUSG00000020092	Pald1
ENSMUSG00000029910	Mad2l1
ENSMUSG00000013646	Sh3bp5l
ENSMUSG00000040969	Arhgef38
ENSMUSG00000078706	Gm53
ENSMUSG00000026102	Inpp1
ENSMUSG00000071646	Mta2
